Date,Opening Price
1/4/2016,30.55
1/5/2016,30.68
1/6/2016,30.27
1/7/2016,29.65
1/8/2016,29.20
1/11/2016,28.54
1/12/2016,28.76
1/13/2016,28.91
1/14/2016,28.31
1/15/2016,28.14
1/19/2016,28.72
1/20/2016,27.93
1/21/2016,28.13
1/22/2016,28.55
1/25/2016,28.32
1/26/2016,28.07
1/27/2016,28.20
1/28/2016,28.22
1/29/2016,28.46
2/1/2016,29.01
2/2/2016,28.27
2/3/2016,28.39
2/4/2016,28.65
2/5/2016,29.15
2/8/2016,28.22
2/9/2016,27.75
2/10/2016,28.37
2/11/2016,27.75
2/12/2016,27.57
2/16/2016,28.58
2/17/2016,29.14
2/18/2016,29.30
2/19/2016,28.94
2/22/2016,29.02
2/23/2016,29.21
2/24/2016,28.90
2/25/2016,28.80
2/26/2016,29.30
2/29/2016,29.44
3/1/2016,29.41
3/2/2016,29.78
3/3/2016,30.20
3/4/2016,30.22
3/7/2016,30.26
3/8/2016,30.08
3/9/2016,30.16
3/10/2016,30.17
3/11/2016,30.14
3/14/2016,30.22
3/15/2016,30.03
3/16/2016,30.24
3/17/2016,30.22
3/18/2016,31.09
3/21/2016,30.85
3/22/2016,30.98
3/23/2016,31.04
3/24/2016,30.91
3/28/2016,31.14
3/29/2016,31.46
3/30/2016,31.76
3/31/2016,31.89
4/1/2016,31.50
4/4/2016,31.69
4/5/2016,30.95
4/6/2016,30.89
4/7/2016,30.72
4/8/2016,30.90
4/11/2016,30.83
4/12/2016,30.68
4/13/2016,30.98
4/14/2016,30.99
4/15/2016,31.07
4/18/2016,30.90
4/19/2016,31.14
4/20/2016,31.20
4/21/2016,31.12
4/22/2016,31.03
4/25/2016,30.81
4/26/2016,30.84
4/27/2016,30.94
4/28/2016,30.74
4/29/2016,30.75
5/2/2016,30.64
5/3/2016,30.64
5/4/2016,30.40
5/5/2016,30.14
5/6/2016,29.68
5/9/2016,30.05
5/10/2016,29.99
5/11/2016,30.50
5/12/2016,29.84
5/13/2016,29.97
5/16/2016,29.55
5/17/2016,29.89
5/18/2016,29.70
5/19/2016,29.33
5/20/2016,29.53
5/23/2016,29.52
5/24/2016,29.72
5/25/2016,30.00
5/26/2016,30.07
5/27/2016,30.14
5/31/2016,30.12
6/1/2016,30.04
6/2/2016,30.01
6/3/2016,30.02
6/6/2016,30.00
6/7/2016,30.14
6/8/2016,30.23
6/9/2016,30.16
6/10/2016,30.02
6/13/2016,29.98
6/14/2016,29.82
6/15/2016,30.48
6/16/2016,30.14
6/17/2016,30.65
6/20/2016,30.85
6/21/2016,30.88
6/22/2016,31.00
6/23/2016,31.06
6/24/2016,30.11
6/27/2016,29.54
6/28/2016,29.81
6/29/2016,30.51
6/30/2016,30.66
7/1/2016,31.48
7/5/2016,31.25
7/6/2016,31.27
7/7/2016,31.81
7/8/2016,31.99
7/11/2016,32.26
7/12/2016,32.31
7/13/2016,32.26
7/14/2016,32.50
7/15/2016,32.76
7/18/2016,32.89
7/19/2016,32.75
7/20/2016,32.96
7/21/2016,32.73
7/22/2016,31.73
7/25/2016,32.07
7/26/2016,31.67
7/27/2016,31.49
7/28/2016,31.20
7/29/2016,31.28
8/1/2016,31.12
8/2/2016,31.11
8/3/2016,31.03
8/4/2016,31.20
8/5/2016,31.27
8/8/2016,31.30
8/9/2016,31.23
8/10/2016,31.25
8/11/2016,31.31
8/12/2016,31.20
8/15/2016,31.30
8/16/2016,31.14
8/17/2016,31.26
8/18/2016,31.25
8/19/2016,31.32
8/22/2016,31.17
8/23/2016,31.45
8/24/2016,31.27
8/25/2016,31.19
8/26/2016,31.27
8/29/2016,31.18
8/30/2016,31.34
8/31/2016,31.29
9/1/2016,31.15
9/2/2016,31.25
9/6/2016,31.31
9/7/2016,30.99
9/8/2016,31.00
9/9/2016,30.82
9/12/2016,30.00
9/13/2016,30.22
9/14/2016,29.81
9/15/2016,29.55
9/16/2016,29.63
9/19/2016,29.78
9/20/2016,29.67
9/21/2016,29.75
9/22/2016,29.96
9/23/2016,30.02
9/26/2016,29.80
9/27/2016,29.60
9/28/2016,29.92
9/29/2016,29.81
9/30/2016,29.60
10/3/2016,29.46
10/4/2016,29.71
10/5/2016,29.52
10/6/2016,29.40
10/7/2016,29.06
10/10/2016,29.00
10/11/2016,28.75
10/12/2016,28.92
10/13/2016,28.78
10/14/2016,28.96
10/17/2016,28.90
10/18/2016,29.03
10/19/2016,29.06
10/20/2016,29.10
10/21/2016,28.44
10/24/2016,29.00
10/25/2016,28.94
10/26/2016,28.59
10/27/2016,28.89
10/28/2016,28.88
10/31/2016,29.48
11/1/2016,29.00
11/2/2016,28.86
11/3/2016,28.60
11/4/2016,28.22
11/7/2016,28.85
11/8/2016,29.37
11/9/2016,29.32
11/10/2016,29.85
11/11/2016,30.49
11/14/2016,30.74
11/15/2016,30.48
11/16/2016,30.65
11/17/2016,30.70
11/18/2016,30.75
11/21/2016,30.69
11/22/2016,30.93
11/23/2016,31.24
11/25/2016,31.45
11/28/2016,31.33
11/29/2016,31.28
11/30/2016,31.18
12/1/2016,30.64
12/2/2016,31.36
12/5/2016,31.43
12/6/2016,31.19
12/7/2016,31.01
12/8/2016,31.60
12/9/2016,31.45
12/12/2016,31.67
12/13/2016,31.90
12/14/2016,31.61
12/15/2016,31.49
12/16/2016,31.52
12/19/2016,31.76
12/20/2016,31.92
12/21/2016,32.20
12/22/2016,31.91
12/23/2016,31.87
12/27/2016,31.89
12/28/2016,31.84
12/29/2016,31.74
12/30/2016,31.63
1/3/2017,31.67
1/4/2017,31.75
1/5/2017,31.57
1/6/2017,31.58
1/9/2017,31.64
1/10/2017,31.46
1/11/2017,31.24
1/12/2017,31.45
1/13/2017,31.36
1/17/2017,31.17
1/18/2017,31.21
1/19/2017,31.25
1/20/2017,30.76
1/23/2017,30.50
1/24/2017,29.86
1/25/2017,30.42
1/26/2017,30.44
1/27/2017,30.40
1/30/2017,29.96
1/31/2017,29.85
2/1/2017,29.73
2/2/2017,29.58
2/3/2017,29.79
2/6/2017,29.68
2/7/2017,29.75
2/8/2017,29.51
2/9/2017,29.52
2/10/2017,29.74
2/13/2017,29.88
2/14/2017,30.13
2/15/2017,30.29
2/16/2017,30.35
2/17/2017,30.41
2/21/2017,30.41
2/22/2017,30.52
2/23/2017,30.04
2/24/2017,29.84
2/27/2017,30.05
2/28/2017,29.99
3/1/2017,29.98
3/2/2017,30.23
3/3/2017,30.19
3/6/2017,30.00
3/7/2017,29.93
3/8/2017,29.89
3/9/2017,29.75
3/10/2017,29.84
3/13/2017,30.23
3/14/2017,29.76
3/15/2017,29.55
3/16/2017,29.80
3/17/2017,29.85
3/20/2017,29.90
3/21/2017,29.86
3/22/2017,29.56
3/23/2017,29.50
3/24/2017,29.59
3/27/2017,29.45
3/28/2017,29.31
3/29/2017,29.52
3/30/2017,29.66
3/31/2017,29.86
4/3/2017,29.76
4/4/2017,29.90
4/5/2017,30.09
4/6/2017,30.00
4/7/2017,29.92
4/10/2017,30.07
4/11/2017,30.00
4/12/2017,29.88
4/13/2017,29.70
4/17/2017,29.62
4/18/2017,29.60
4/19/2017,29.89
4/20/2017,30.05
4/21/2017,30.27
4/24/2017,29.85
4/25/2017,29.45
4/26/2017,29.52
4/27/2017,29.29
4/28/2017,29.10
5/1/2017,29.01
5/2/2017,29.01
5/3/2017,28.92
5/4/2017,29.27
5/5/2017,29.13
5/8/2017,29.16
5/9/2017,29.08
5/10/2017,28.92
5/11/2017,28.68
5/12/2017,28.36
5/15/2017,28.07
5/16/2017,28.25
5/17/2017,27.82
5/18/2017,27.26
5/19/2017,27.55
5/22/2017,28.23
5/23/2017,28.21
5/24/2017,28.32
5/25/2017,27.79
5/26/2017,27.46
5/30/2017,27.31
5/31/2017,27.33
6/1/2017,27.51
6/2/2017,27.87
6/5/2017,27.90
6/6/2017,27.98
6/7/2017,27.95
6/8/2017,27.68
6/9/2017,27.63
6/12/2017,29.24
6/13/2017,29.12
6/14/2017,28.48
6/15/2017,28.48
6/16/2017,28.98
6/19/2017,28.96
6/20/2017,28.71
6/21/2017,28.18
6/22/2017,27.77
6/23/2017,27.79
6/26/2017,27.59
6/27/2017,27.52
6/28/2017,27.26
6/29/2017,27.16
6/30/2017,27.09
7/3/2017,27.16
7/5/2017,27.54
7/6/2017,26.86
7/7/2017,26.25
7/10/2017,26.13
7/11/2017,26.03
7/12/2017,26.54
7/13/2017,26.58
7/14/2017,26.74
7/17/2017,26.76
7/18/2017,26.76
7/19/2017,26.85
7/20/2017,27.02
7/21/2017,25.38
7/24/2017,25.78
7/25/2017,25.57
7/26/2017,25.59
7/27/2017,25.59
7/28/2017,25.86
7/31/2017,25.54
8/1/2017,25.63
8/2/2017,25.44
8/3/2017,25.59
8/4/2017,25.75
8/7/2017,25.74
8/8/2017,25.63
8/9/2017,25.55
8/10/2017,25.71
8/11/2017,25.40
8/14/2017,25.28
8/15/2017,25.21
8/16/2017,25.12
8/17/2017,25.07
8/18/2017,24.63
8/21/2017,24.49
8/22/2017,24.57
8/23/2017,24.52
8/24/2017,24.43
8/25/2017,24.39
8/28/2017,24.53
8/29/2017,24.33
8/30/2017,24.49
8/31/2017,24.41
9/1/2017,24.60
9/5/2017,25.06
9/6/2017,24.89
9/7/2017,24.51
9/8/2017,23.95
9/11/2017,23.80
9/12/2017,23.82
9/13/2017,23.93
9/14/2017,24.10
9/15/2017,24.10
9/18/2017,23.96
9/19/2017,24.46
9/20/2017,24.20
9/21/2017,24.33
9/22/2017,24.84
9/25/2017,24.92
9/26/2017,25.15
9/27/2017,25.00
9/28/2017,24.39
9/29/2017,24.22
10/2/2017,24.22
10/3/2017,24.61
10/4/2017,24.88
10/5/2017,24.39
10/6/2017,24.41
10/9/2017,24.10
10/10/2017,23.70
10/11/2017,23.13
10/12/2017,23.05
10/13/2017,23.15
10/16/2017,22.99
10/17/2017,23.22
10/18/2017,23.20
10/19/2017,23.14
10/20/2017,22.14
10/23/2017,23.44
10/24/2017,22.12
10/25/2017,21.84
10/26/2017,21.57
10/27/2017,21.26
10/30/2017,20.62
10/31/2017,20.26
11/1/2017,20.07
11/2/2017,20.05
11/3/2017,19.92
11/6/2017,20.52
11/7/2017,20.17
11/8/2017,20.21
11/9/2017,20.04
11/10/2017,19.98
11/13/2017,20.26
11/14/2017,18.79
11/15/2017,17.51
11/16/2017,18.48
11/17/2017,18.34
11/20/2017,17.95
11/21/2017,17.95
11/22/2017,18.15
11/24/2017,18.38
11/27/2017,18.34
11/28/2017,18.17
11/29/2017,18.45
11/30/2017,18.56
12/1/2017,18.28
12/4/2017,18.00
12/5/2017,17.78
12/6/2017,17.61
12/7/2017,17.81
12/8/2017,17.72
12/11/2017,17.61
12/12/2017,17.95
12/13/2017,17.92
12/14/2017,17.77
12/15/2017,17.78
12/18/2017,17.87
12/19/2017,17.77
12/20/2017,17.63
12/21/2017,17.46
12/22/2017,17.51
12/26/2017,17.45
12/27/2017,17.46
12/28/2017,17.35
12/29/2017,17.27
